	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000232258	12.9740286727194	-6.99570060967408	22.7024183877347	1.70167230579263e-15	5.15283390917065e-11	23.7095739591593
ENSG00000166426	4.11159627614601	2.27630822590852	16.3235276673956	7.76951596209318e-13	1.17634356424072e-08	18.8611257955163
ENSG00000279694	4.11889924366682	0.895514648247042	15.3703720608113	2.31779015017771e-12	2.33950011791771e-08	17.9246752098884
ENSG00000164853	12.3158755671801	-6.540856783634	13.6468376938176	1.9536493002468e-11	1.38325650373686e-07	16.0480255680941
ENSG00000236823	-10.5226208889243	-7.59705162585469	-13.4511649473177	2.52347383452647e-11	1.38325650373686e-07	15.8186152216165
ENSG00000233452	2.56167028627058	2.02558820613173	13.3884842491093	2.74084046841953e-11	1.38325650373686e-07	15.7443759302168
ENSG00000234394	-5.66746660959449	0.551038197828541	-13.1306037102722	3.86342077333701e-11	1.67126063482026e-07	15.4350411108373
ENSG00000181392	3.25162773788991	0.911271528803212	13.0304097502002	4.42115711532016e-11	1.67346323261262e-07	15.3131398363667
ENSG00000101333	1.93559219780766	3.46026241351956	12.8691230368909	5.50267341006857e-11	1.8514050392254e-07	15.1148586434058
ENSG00000105642	-3.47123612671635	5.28456663517587	-12.4665323754544	9.59429994807094e-11	2.68655211250623e-07	14.6086430945425
ENSG00000185559	8.30708094422998	1.30465824724125	12.4134514678622	1.03348816857702e-10	2.68655211250623e-07	14.5406730972218
ENSG00000171551	6.82302778094837	2.49692188436885	12.3922953555506	1.06464863611092e-10	2.68655211250623e-07	14.5135018758955
ENSG00000271824	3.85555748492886	-1.35135821622951	12.3283849949574	1.16488645772237e-10	2.71337898663778e-07	14.4311393548642
ENSG00000100314	-3.37096028684969	4.8362601737031	-12.2638209051483	1.27621024316148e-10	2.76035159808377e-07	14.34750331588
ENSG00000162595	5.03751195336563	4.3141147825924	11.7338187873689	2.7390313053782e-10	5.04210310088825e-07	13.6442141961068
ENSG00000165553	4.32547544021371	3.53277361416204	11.7229027773121	2.78322614127882e-10	5.04210310088825e-07	13.6294095914651
ENSG00000168748	-4.05521954621603	1.01067370562809	-11.7113820893192	2.83067774231697e-10	5.04210310088825e-07	13.6137706693759
ENSG00000171159	-2.42659331572652	6.31212080759464	-11.3759682806213	4.65683127637463e-10	7.50459293761117e-07	13.1519765075747
ENSG00000091428	-2.77061534453729	7.50061905017855	-11.3685741766401	4.70880307171534e-10	7.50459293761117e-07	13.1416536074404
ENSG00000204121	8.60940761694526	-8.11138873728081	11.1794334976689	6.26631735227321e-10	9.48751778720926e-07	12.8754655632387
ENSG00000164236	-3.62313989192797	3.41139077681677	-11.1039795912209	7.03003173448745e-10	1.0136970997715e-06	12.7681220207689
ENSG00000221754	4.17594263587956	-0.985617275318773	10.9861746542394	8.42248559104881e-10	1.15927857355704e-06	12.5991977370134
ENSG00000205856	13.8320783874749	-4.16559990324079	10.8967397091561	9.67025308799726e-10	1.2731518859028e-06	12.4698614371491
ENSG00000149091	-2.20827100992774	7.08880386965977	-10.8453270362853	1.04734960559501e-09	1.29301116843937e-06	12.3950807518079
ENSG00000099994	2.73572112218419	1.90047510161397	10.8330684712526	1.06751029394618e-09	1.29301116843937e-06	12.377203848371
ENSG00000135519	-2.97764421979738	5.55621825557544	-10.7721249285264	1.17392364580387e-09	1.33627425161389e-06	12.28806137861
ENSG00000237412	4.01519722310147	-0.216876116656447	10.7626233144174	1.19148656892359e-09	1.33627425161389e-06	12.2741231055874
ENSG00000104888	-7.39822881622264	5.68970890684931	-10.660494563066	1.39853100692955e-09	1.47398992750455e-06	12.1236182243516
ENSG00000121905	-3.76990786184902	6.37469308004007	-10.6545716633997	1.41163461898986e-09	1.47398992750455e-06	12.1148509988076
ENSG00000196468	9.59946845709999	-7.75795087569313	10.5817583382106	1.58360451340798e-09	1.5984376090169e-06	12.0067216102987
ENSG00000259436	4.64003314584456	-1.15218046350656	10.4598660976071	1.9221050549429e-09	1.877524618346e-06	11.8242544860634
ENSG00000119973	3.57930560693496	1.1058123253559	10.3790982288562	2.18730653158035e-09	2.06980715883702e-06	11.7023374003396
ENSG00000233384	-2.27879615217791	-1.55115291765188	-10.3116591371727	2.43790546622044e-09	2.23703683098852e-06	11.5999173997497
ENSG00000089225	-4.91686495225936	-2.25836016194371	-10.2548424087599	2.67222750430761e-09	2.37993297229232e-06	11.5131874137486
ENSG00000100557	10.3763168036988	-7.23747610041193	10.2212940835113	2.82150231419695e-09	2.44108318789137e-06	11.4617855881087
ENSG00000276462	-5.90792160518579	1.45635720539424	-10.1925147958644	2.9564800103272e-09	2.45175209588545e-06	11.4175775050054
ENSG00000172137	3.67332119110265	5.2910597773903	10.1843950713871	2.99576723185369e-09	2.45175209588545e-06	11.4050857810187
ENSG00000271945	9.35816542792371	-8.07789344780264	10.0596566030071	3.67270817950996e-09	2.86342335583234e-06	11.2121297427337
ENSG00000111087	3.24074962065031	-0.238271293950982	10.0571390987512	3.68790696732146e-09	2.86342335583234e-06	11.2082150176906
ENSG00000179611	-2.49065846938558	6.61501040421746	-10.0122273804713	3.97034861721527e-09	3.00565316194739e-06	11.1382406598199
ENSG00000102924	4.70717967766005	2.56510661268442	9.88698232605451	4.88348654367546e-09	3.52426983567363e-06	10.9417311247279
ENSG00000157782	-2.29376279232473	5.14556619738519	-9.88640219728727	4.88819170761508e-09	3.52426983567363e-06	10.9408161797257
ENSG00000007402	2.67645073025185	4.26083147738572	9.81067710207282	5.54479756496936e-09	3.90469802476366e-06	10.8210111217411
ENSG00000184702	-1.8513968235885	8.12157286944903	-9.75144266467062	6.12215003824154e-09	4.21329148427255e-06	10.7267740883402
ENSG00000232871	-1.68016477882555	2.76886707784995	-9.67198835350934	6.99657597325914e-09	4.70807371213911e-06	10.5996454100993
ENSG00000230223	3.33087089914637	-1.41823293530385	9.64078215769986	7.37472869167863e-09	4.85465564158088e-06	10.5494870537855
ENSG00000081138	3.74066681452563	0.608436346651142	9.53824975348238	8.77422056655513e-09	5.32388531813708e-06	10.3837753199206
ENSG00000129038	2.36608727344461	0.857532655237988	9.52875035376313	8.91717615126579e-09	5.32388531813708e-06	10.368351667171
ENSG00000171532	-5.85321211095328	3.07972928108913	-9.51998069677162	9.05130283089951e-09	5.32388531813708e-06	10.354102162399
ENSG00000122859	-6.65028126481585	-2.01367348896198	-9.5180270648777	9.08146749062287e-09	5.32388531813708e-06	10.3509263759945
ENSG00000137825	-3.5277798215252	2.70009105064407	-9.51542629029562	9.12178670349141e-09	5.32388531813708e-06	10.3466978155105
ENSG00000178718	1.35214133484512	3.4772655968535	9.51409908989086	9.14243375526331e-09	5.32388531813708e-06	10.3445395918745
ENSG00000106633	1.80068158198727	2.51166518974996	9.48304068422079	9.63975358775613e-09	5.50757317718572e-06	10.2939667724115
ENSG00000108830	1.56440412888744	6.4824407286677	9.45218035734546	1.01618514622161e-08	5.68053609652008e-06	10.2435884917685
ENSG00000027644	4.03720754561416	-1.30665571768538	9.44328909296592	1.03176739641559e-08	5.68053609652008e-06	10.2290501329285
ENSG00000196872	-3.05435837821589	3.94866368311488	-9.39671827586753	1.11754635160304e-08	6.04293233444496e-06	10.1527271851685
ENSG00000173452	2.93638498756832	1.8013630707004	9.37343492776649	1.16318372134934e-08	6.1793625028385e-06	10.1144595126079
ENSG00000255301	-3.84264820652508	1.58122251954928	-9.35513581179867	1.20041077347693e-08	6.26717907442327e-06	10.0843323711074
ENSG00000255794	4.15058841090184	2.03198601969893	9.33132264624439	1.25072082789348e-08	6.41916565922756e-06	10.0450592445344
ENSG00000241328	-11.9422190367781	-7.67854148555078	-9.28525565688189	1.35437324072663e-08	6.83529601707385e-06	9.96886655063862
ENSG00000256659	9.48399882396688	-8.74071553405032	9.23290897957753	1.48308383215137e-08	7.34732655562684e-06	9.88193745315374
ENSG00000112246	11.9726361812161	-5.84681291383338	9.22453391125053	1.50482923348456e-08	7.34732655562684e-06	9.86799481684073
ENSG00000171724	3.2823250136192	5.98426138637986	9.21551392707723	1.52862049801688e-08	7.34732655562684e-06	9.85296783204959
ENSG00000178860	-4.34330735986304	0.774763195600171	-9.19604425396665	1.58131762323162e-08	7.48185608579326e-06	9.82049414264995
ENSG00000224940	2.52123940248765	2.17731501945769	9.15460002511693	1.69988206506275e-08	7.91909674033308e-06	9.75119616184579
ENSG00000148357	2.48144916931995	0.795635972374121	9.11022933517022	1.83711834562882e-08	8.42875463999793e-06	9.67674384545118
ENSG00000251191	-9.55293180939918	-8.87318509924022	-9.09665565271109	1.88136523257357e-08	8.50292844888959e-06	9.65391368145975
ENSG00000087085	2.4245962034865	5.55823812562299	9.06616646492403	1.98484117921666e-08	8.76548542961295e-06	9.60254010335452
ENSG00000122012	3.82822819283819	3.40031498735123	9.06259232867645	1.99735310803241e-08	8.76548542961295e-06	9.59650937545023
ENSG00000235590	4.83898168965109	1.35649613866564	9.03773655788195	2.08666555236345e-08	9.0266170844454e-06	9.55452085858872
ENSG00000134504	-1.60869996831053	4.0178067816968	-8.9893353559927	2.27270330998186e-08	9.55982766806511e-06	9.47251227856649
ENSG00000275971	4.68637551948267	-2.23131508785295	8.98924468192242	2.27306757405861e-08	9.55982766806511e-06	9.47235834055121
ENSG00000104953	3.34254110420478	1.04649324547578	8.97856432085524	2.3164012679161e-08	9.60862284846128e-06	9.45421824150345
ENSG00000135638	-6.27303838830398	0.148690030258022	-8.9691870555465	2.35515598932656e-08	9.63736196118888e-06	9.43827834755637
ENSG00000108960	-2.41549113916327	5.62406693205992	-8.93354141684229	2.50873454763154e-08	1.01289321115774e-05	9.37757488232563
ENSG00000165802	-2.17056699233829	8.86796204825357	-8.91498306826829	2.59277961463223e-08	1.03305209882472e-05	9.34590063644907
ENSG00000236858	9.03465713637644	-8.96538637784554	8.89377944669903	2.69239790309397e-08	1.0588117000466e-05	9.30965290238231
ENSG00000136546	2.62894874235134	2.36222004645861	8.87477933190078	2.78504420596698e-08	1.07667581500747e-05	9.27711883129528
ENSG00000150361	3.94596161171708	1.40469673844696	8.86403817887945	2.83887951874218e-08	1.07667581500747e-05	9.25870436561015
