Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	8.0	20758984	0.086	-0.732
miRNA	0.0	31126	-0.016	0.011
ncRNA	2.0	3444819	0.677	-1.034
TTS	14.0	27310824	0.498	-2.053
pseudo	0.0	546038	-0.261	0.198
Exon	5.0	34637734	-1.331	4.291
Intron	471.0	949817418	0.450	-36.761
Intergenic	472.0	1652260349	-0.346	36.564
Promoter	14.0	30199116	0.353	-1.540
5UTR	2.0	2375187	1.214	-1.543
snoRNA	0.0	19	-0.000	0.000
rRNA	0.0	5631	-0.003	0.002
Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	8.0	20758984	0.087	-0.733
Other	0.0	7949755	-1.961	2.889
RC?	0.0	10979	-0.006	0.004
RNA	0.0	113962	-0.058	0.041
miRNA	0.0	31126	-0.016	0.011
ncRNA	2.0	3444819	0.678	-1.034
TTS	14.0	27310824	0.498	-2.056
LINE	145.0	543494309	-0.444	11.507
LINE?	0.0	8168	-0.004	0.003
srpRNA	19.0	43307	10.240	-118.438
SINE	661.0	196371795	3.213	-1138.793
RC	0.0	65629	-0.034	0.024
tRNA	0.0	266275	-0.133	0.097
DNA?	0.0	142070	-0.073	0.052
pseudo	0.0	546038	-0.261	0.198
DNA	0.0	28672013	-3.526	10.460
Exon	5.0	34637734	-1.330	4.287
Intron	38.0	602752347	-2.525	136.532
Intergenic	26.0	822333383	-3.521	259.299
Promoter	14.0	30199116	0.353	-1.542
5UTR	2.0	2375187	1.214	-1.544
snoRNA	0.0	19	-0.000	0.000
LTR?	0.0	192563	-0.097	0.070
scRNA	0.0	602434	-0.285	0.219
CpG-Island	0.0	3120067	-1.093	1.133
Low_complexity	1.0	19380269	-2.814	4.968
LTR	35.0	312893904	-1.698	43.136
Simple_repeat	8.0	57509780	-1.383	6.812
snRNA	0.0	237028	-0.119	0.086
Unknown	0.0	2405032	-0.906	0.873
SINE?	0.0	29758	-0.015	0.011
Satellite	0.0	4519924	-1.402	1.642
rRNA	10.0	166488	7.371	-43.269
