PeakID (cmd=annotatePeaks.pl lmo2_specific.bed mm10 -annStats lmo2_peaks_annstats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
lmo2_peak_1907	chrX	106186637	106187334	+	1091	NA	promoter-TSS (NM_008828)	promoter-TSS (NM_008828)	-115	NM_008828	18655	Mm.316355	NM_008828	ENSMUSG00000062070	Pgk1	Pgk-1	phosphoglycerate kinase 1	protein-coding
lmo2_peak_1671	chr8	84705072	84706012	+	572	NA	TTS (NM_008535)	TTS (NM_008535)	4085	NM_008535	17095	Mm.4925	NM_008535	ENSMUSG00000034041	Lyl1	Lyl-1|bHLHa18	lymphoblastomic leukemia 1	protein-coding
lmo2_peak_1908	chrX	106203594	106204133	+	495	NA	TTS (NM_008828)	TTS (NM_008828)	15979	NM_001001176	407786	Mm.19440	NM_001001176	ENSMUSG00000047242	Taf9b	BC066223|Taf9l	TATA-box binding protein associated factor 9B	protein-coding
lmo2_peak_283	chr11	86757479	86757799	+	463	NA	promoter-TSS (NM_001356393)	promoter-TSS (NM_001356393)	-72	NM_001003908	67300	Mm.254588	NM_001003908	ENSMUSG00000047126	Cltc	3110065L21Rik|CHC|R74732	clathrin, heavy polypeptide (Hc)	protein-coding
lmo2_peak_1356	chr5	124633512	124633771	+	415	NA	intron (NM_011596, intron 2 of 19)	intron (NM_011596, intron 2 of 19)	4589	NM_011596	21871	Mm.1158	NM_011596	ENSMUSG00000038023	Atp6v0a2	8430408C20Rik|AI385560|ATP6a2|AW489264|Atp6n1d|Atp6n2|C76904|ISF|J6B7|SHIF|Stv1|TJ6M|TJ6s|Tj6|V-ATPase 116 kDa|V-ATPase a2	ATPase, H+ transporting, lysosomal V0 subunit A2	protein-coding
lmo2_peak_1004	chr2	104098542	104099003	+	415	NA	intron (NM_001111060, intron 2 of 4)	intron (NM_001111060, intron 2 of 4)	2971	NM_007652	12509	Mm.247265	NM_007652	ENSMUSG00000032679	Cd59a	AA987121|Cd59|protectin	CD59a antigen	protein-coding
lmo2_peak_1453	chr6	97409724	97410124	+	369	NA	intron (NM_001346639, intron 4 of 22)	intron (NM_001346639, intron 4 of 22)	49362	NM_001346639	232288	Mm.27789	NM_145148	ENSMUSG00000030064	Frmd4b	6030440G05Rik|C87375|GOBLIN|GRSP1|R74720	FERM domain containing 4B	protein-coding
lmo2_peak_198	chr10	121569022	121569378	+	348	NA	intron (NM_019786, intron 6 of 20)	intron (NM_019786, intron 6 of 20)	17594	NM_019786	56480	Mm.34580	NM_019786	ENSMUSG00000020115	Tbk1	1200008B05Rik|AI462036|AW048562	TANK-binding kinase 1	protein-coding
lmo2_peak_961	chr2	73818812	73819215	+	325	NA	exon (NM_009715, exon 14 of 14)	exon (NM_009715, exon 14 of 14)	-43667	NM_001166603	108699	Mm.257073	NM_029716	ENSMUSG00000056486	Chn1	0610007I19Rik|0710001E19Rik|1700112L09Rik|2900046J01Rik|AI413815|ARHGAP2	chimerin 1	protein-coding
lmo2_peak_1625	chr8	34726036	34726507	+	320	NA	Intergenic	Intergenic	-81339	NM_176933	319520	Mm.170276	NM_176933	ENSMUSG00000031530	Dusp4	2700078F24Rik|AI844617|BB104621|E130306H24Rik|MKP2	dual specificity phosphatase 4	protein-coding
lmo2_peak_1599	chr8	11259837	11260195	+	308	NA	intron (NR_133670, intron 2 of 52)	intron (NR_133670, intron 2 of 52)	-52789	NM_009932	12827	Mm.181021	NM_009932	ENSMUSG00000031503	Col4a2	Col4a-2	collagen, type IV, alpha 2	protein-coding
lmo2_peak_1442	chr6	88116760	88117348	+	294	NA	Intergenic	Intergenic	-12796	NR_105795	102465196		NR_105795	ENSMUSG00000099095	Mir6376	Gm27778|mmu-mir-6376	microRNA 6376	ncRNA
lmo2_peak_734	chr17	6172949	6173318	+	294	NA	intron (NM_054040, intron 1 of 13)	intron (NM_054040, intron 1 of 13)	34985	NM_054040	68842	Mm.449307	NM_054040	ENSMUSG00000034377	Tulp4	1110057P05Rik|2210038L17Rik|Tusp	tubby like protein 4	protein-coding
lmo2_peak_1499	chr7	45137386	45137699	+	293	NA	Intergenic	L2a|LINE|L2	-1110	NR_102725	14256	Mm.1658	NM_013520	ENSMUSG00000110206	Flt3l	Flt3lg|Ly72L	FMS-like tyrosine kinase 3 ligand	protein-coding
lmo2_peak_1626	chr8	34748584	34748894	+	293	NA	Intergenic	Intergenic	-58871	NM_176933	319520	Mm.170276	NM_176933	ENSMUSG00000031530	Dusp4	2700078F24Rik|AI844617|BB104621|E130306H24Rik|MKP2	dual specificity phosphatase 4	protein-coding
lmo2_peak_1005	chr2	105399399	105399696	+	279	NA	promoter-TSS (NM_009037)	promoter-TSS (NM_009037)	-228	NM_009037	19672	Mm.4876	NM_009037	ENSMUSG00000005973	Rcn1	Rcn	reticulocalbin 1	protein-coding
lmo2_peak_1260	chr4	140816579	140816841	+	279	NA	non-coding (NR_045944, exon 3 of 3)	non-coding (NR_045944, exon 3 of 3)	5717	NR_045944	100049161	Mm.20854	NR_045944	ENSMUSG00000085918	Gm13032	-	predicted gene 13032	ncRNA
lmo2_peak_1508	chr7	71705636	71705983	+	279	NA	Intergenic	CpG	-203886	NR_130995	78156	Mm.243818	NR_130995	ENSMUSG00000108669	4930441H08Rik	-	RIKEN cDNA 4930441H08 gene	ncRNA
lmo2_peak_391	chr12	103393560	103393831	+	279	NA	intron (NM_001177841, intron 2 of 6)	intron (NM_001177841, intron 2 of 6)	5013	NM_001177841	68149	Mm.127378	NM_026580	ENSMUSG00000021203	Otub2	2010015L18Rik|4930586I02Rik|AI413508|AW557219|OTB2|OTU2	OTU domain, ubiquitin aldehyde binding 2	protein-coding
lmo2_peak_933	chr2	28598068	28598399	+	279	NA	Intergenic	Intergenic	-14954	NM_148928	70239	Mm.274120	NM_148928	ENSMUSG00000026816	Gtf3c5	2700084A09Rik|TFIIIC63|TFiiiC2-63	general transcription factor IIIC, polypeptide 5	protein-coding
lmo2_peak_64	chr1	134092728	134093152	+	265	NA	Intergenic	Intergenic	-13785	NM_007570	12227	Mm.392646	NM_007570	ENSMUSG00000020423	Btg2	AA959598|APRO1|Pc3|TIS21	B cell translocation gene 2, anti-proliferative	protein-coding
lmo2_peak_900	chr19	54087380	54087750	+	265	NA	Intergenic	Intergenic	42306	NM_007417	11551	Mm.235195	NM_007417	ENSMUSG00000033717	Adra2a	AW122659|Adra-2|Adra-2a|alpha(2A)AR|alpha2-C10|alpha2A|alpha2A-AR	adrenergic receptor, alpha 2a	protein-coding
lmo2_peak_1191	chr4	81830042	81830283	+	265	NA	Intergenic	MLT1I|LTR|ERVL-MaLR	-235218	NR_040659	545641	Mm.216028	NR_040659	ENSMUSG00000085022	Gm5860	EG545641	predicted gene 5860	ncRNA
lmo2_peak_1213	chr4	115074853	115075928	+	265	NA	Intergenic	Intergenic	-13318	NM_001164558	67182	Mm.30181	NM_026018	ENSMUSG00000028716	Pdzk1ip1	0610007F13Rik|2700030M23Rik|AU046042|Map17	PDZK1 interacting protein 1	protein-coding
lmo2_peak_831	chr18	61758904	61759202	+	265	NA	intron (NM_178928, intron 1 of 18)	intron (NM_178928, intron 1 of 18)	27609	NM_178928	106877	Mm.26632	NM_178928	ENSMUSG00000033032	Afap1l1	AI173486	actin filament associated protein 1-like 1	protein-coding
lmo2_peak_1768	chr9	32556249	32556593	+	265	NA	Intergenic	UCON26|Unknown|Unknown	-14969	NM_008026	14247	Mm.258908	NM_008026	ENSMUSG00000016087	Fli1	EWSR2|Fli-1|SIC-1|Sic1	Friend leukemia integration 1	protein-coding
lmo2_peak_1709	chr8	120325382	120325637	+	253	NA	Intergenic	Intergenic	-97279	NR_110496	434353	Mm.411793	NR_110496	ENSMUSG00000097960	A330074K22Rik	-	RIKEN cDNA A330074K22 gene	ncRNA
lmo2_peak_112	chr10	17719059	17719366	+	252	NA	Intergenic	Intergenic	-4016	NM_010828	17684	Mm.272321	NM_010828	ENSMUSG00000039910	Cited2	AI835299|ER154-like|Mrg1|Msg2|p35srj	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	protein-coding
lmo2_peak_479	chr13	95657163	95657481	+	251	NA	intron (NM_027711, intron 28 of 35)	intron (NM_027711, intron 28 of 35)	-38856	NM_010169	14062	Mm.24816	NM_010169	ENSMUSG00000048376	F2r	AI482343|Cf2r|Par1|ThrR	coagulation factor II (thrombin) receptor	protein-coding
lmo2_peak_1726	chr8	122313239	122313756	+	250	NA	intron (NM_009569, intron 3 of 9)	intron (NM_009569, intron 3 of 9)	31356	NM_009569	22761	Mm.3105	NM_009569	ENSMUSG00000049577	Zfpm1	FOG|Fog1	zinc finger protein, multitype 1	protein-coding
lmo2_peak_1794	chr9	58847047	58847328	+	239	NA	intron (NM_001081192, intron 2 of 7)	intron (NM_001081192, intron 2 of 7)	24238	NM_001081192	330953	Mm.151967	NM_001081192	ENSMUSG00000032338	Hcn4	Bcng3|Hcn3	hyperpolarization-activated, cyclic nucleotide-gated K+ 4	protein-coding
lmo2_peak_1713	chr8	120462212	120462525	+	238	NA	Intergenic	Intergenic	-26498	NM_198671	382034	Mm.334856	NM_198671	ENSMUSG00000031822	Gse1	2210013I18Rik|mKIAA0182	genetic suppressor element 1, coiled-coil protein	protein-coding
lmo2_peak_1854	chr9	110665959	110666240	+	238	NA	intron (NM_028312, intron 1 of 6)	intron (NM_028312, intron 1 of 6)	9596	NM_028312	72654	Mm.249115	NM_028312	ENSMUSG00000019659	Ccdc12	2700094L05Rik|C76605	coiled-coil domain containing 12	protein-coding
lmo2_peak_1295	chr5	29870610	29870868	+	236	NA	Intergenic	ORR1F|LTR|ERVL-MaLR	-134803	NR_028426	332993	Mm.473746	NR_028426		Gm5129	EG332993	predicted gene 5129	ncRNA
lmo2_peak_568	chr14	115979282	115979603	+	236	NA	intron (NM_175500, intron 7 of 7)	intron (NM_175500, intron 7 of 7)	-569890	NR_045761	75088	Mm.444706	NR_045761	ENSMUSG00000093551	4930505G20Rik	-	RIKEN cDNA 4930505G20 gene	ncRNA
lmo2_peak_778	chr17	57290254	57290522	+	236	NA	intron (NM_011691, intron 1 of 26)	intron (NM_011691, intron 1 of 26)	11288	NM_001163816	22324	Mm.248172	NM_011691	ENSMUSG00000034116	Vav1	Vav|vav-T	vav 1 oncogene	protein-coding
lmo2_peak_850	chr18	88924570	88924859	+	236	NA	Intergenic	Intergenic	-30507	NM_018821	54607	Mm.91920	NM_018821	ENSMUSG00000056153	Socs6	1500012M23Rik|5830401B18Rik|AI447482|Cis4|Cish4|HSPC060|SOCS-4|SOCS-6|SSI4|STAI4|STATI4|Socs4	suppressor of cytokine signaling 6	protein-coding
lmo2_peak_240	chr11	51485956	51486393	+	236	NA	intron (NM_153393, intron 2 of 28)	intron (NM_153393, intron 2 of 28)	-98583	NM_028398	72947	Mm.256875	NM_028398	ENSMUSG00000020359	Phykpl	2900006B13Rik|Agxt2l2	5-phosphohydroxy-L-lysine phospholyase	protein-coding
lmo2_peak_852	chr19	3767859	3768235	+	236	NA	5' UTR (NM_001167889, exon 2 of 11)	5' UTR (NM_001167889, exon 2 of 11)	626	NM_144871	225888	Mm.278578	NM_144871	ENSMUSG00000045098	Kmt5b	AA117471|C630029K18Rik|Suv4-20h1|Suv420h1	lysine methyltransferase 5B	protein-coding
lmo2_peak_960	chr2	71725197	71725477	+	236	NA	intron (NR_037979, intron 2 of 3)	intron (NR_037979, intron 2 of 3)	5920	NR_037979	381371	Mm.330284	NM_201366	ENSMUSG00000064263	Platr26	Gm1631	pluripotency associated transcript 26	ncRNA
lmo2_peak_1657	chr8	76793942	76794237	+	226	NA	intron (NR_028579, intron 1 of 1)	intron (NR_028579, intron 1 of 1)	106532	NR_028579	102640923	Mm.367571	NR_028579	ENSMUSG00000074235	Gm10649	-	predicted gene 10649	ncRNA
lmo2_peak_1369	chr5	137532992	137533364	+	223	NA	5' UTR (NM_010312, exon 1 of 10)	5' UTR (NM_010312, exon 1 of 10)	128	NM_010312	14693	Mm.30141	NM_010312	ENSMUSG00000029713	Gnb2	Gnb-2	guanine nucleotide binding protein (G protein), beta 2	protein-coding
lmo2_peak_655	chr16	10737627	10737925	+	223	NA	intron (NM_177562, intron 22 of 22)	intron (NM_177562, intron 22 of 22)	47760	NM_009896	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding
lmo2_peak_721	chr16	95459201	95459974	+	223	NA	promoter-TSS (NM_001302154)	promoter-TSS (NM_001302154)	-239	NM_001302153	13876	Mm.164531	NM_133659	ENSMUSG00000040732	Erg	D030036I24Rik	ETS transcription factor	protein-coding
lmo2_peak_840	chr18	75502873	75503270	+	223	NA	intron (NM_201354, intron 9 of 11)	intron (NM_201354, intron 9 of 11)	-11574	NR_045879	100038353	Mm.440724	NR_045879	ENSMUSG00000097712	Gm10532	-	predicted gene 10532	ncRNA
lmo2_peak_719	chr16	95439136	95439555	+	214	NA	intron (NM_001302179, intron 2 of 9)	intron (NM_001302179, intron 2 of 9)	20003	NM_001302154	13876	Mm.164531	NM_133659	ENSMUSG00000040732	Erg	D030036I24Rik	ETS transcription factor	protein-coding
lmo2_peak_1517	chr7	80283563	80283969	+	213	NA	intron (NM_178070, intron 8 of 22)	intron (NM_178070, intron 8 of 22)	-10685	NM_145150	233406	Mm.227274	NM_145150	ENSMUSG00000038943	Prc1	D7Ertd348e	protein regulator of cytokinesis 1	protein-coding
lmo2_peak_1421	chr6	51633528	51633905	+	210	NA	Intergenic	LTR85b|LTR|Gypsy?	88423	NM_001361577	71982	Mm.294166	NM_028035	ENSMUSG00000038301	Snx10	2410004M09Rik	sorting nexin 10	protein-coding
lmo2_peak_500	chr13	107100852	107101282	+	209	NA	Intergenic	Intergenic	78497	NR_015471	100040322	Mm.133867	NR_015471	ENSMUSG00000071181	3830408C21Rik	-	RIKEN cDNA 3830408C21 gene	ncRNA
lmo2_peak_1275	chr4	153228003	153228417	+	209	NA	Intergenic	MT2A|LTR|ERVL	254620	NM_001099299	230959	Mm.318874	NM_001099299	ENSMUSG00000039546	Ajap1	Gm573	adherens junction associated protein 1	protein-coding
lmo2_peak_121	chr10	21839250	21839634	+	209	NA	Intergenic	Intergenic	-42742	NM_001161845	20393	Mm.28405	NM_011361	ENSMUSG00000019970	Sgk1	Sgk	serum/glucocorticoid regulated kinase 1	protein-coding
lmo2_peak_739	chr17	12668960	12669528	+	209	NA	intron (NM_009202, intron 1 of 10)	MLTR18C_MM|LTR|ERVK	6594	NM_009202	20517	Mm.594	NM_009202	ENSMUSG00000023829	Slc22a1	Lx1|Oct1|Orct|Orct1	solute carrier family 22 (organic cation transporter), member 1	protein-coding
lmo2_peak_47	chr1	97661006	97661275	+	209	NA	5' UTR (NM_001355072, exon 1 of 3)	5' UTR (NM_001355072, exon 1 of 3)	536	NM_001355072	52392	Mm.12309	NM_133825	ENSMUSG00000044768	D1Ertd622e	AI987691|AW047450	DNA segment, Chr 1, ERATO Doi 622, expressed	protein-coding
lmo2_peak_866	chr19	30942388	30942738	+	209	NA	intron (NM_001013833, intron 4 of 17)	intron (NM_001013833, intron 4 of 17)	-11601	NR_033643	625995	Mm.454508	NR_033643		Gm6642	EG625995	ubiquitin-like 5 pseudogene	pseudo
lmo2_peak_1073	chr3	20145621	20146065	+	209	NA	intron (NM_001355261, intron 4 of 7)	intron (NM_001355261, intron 4 of 7)	9273	NM_013755	27357	Mm.6375	NM_013755	ENSMUSG00000019528	Gyg	AU017667|GN1|Gyg1	glycogenin	protein-coding
lmo2_peak_1830	chr9	78506395	78506712	+	209	NA	Intergenic	Intergenic	-24829	NM_010106	13627	Mm.138471	NM_010106	ENSMUSG00000037742	Eef1a1	-	eukaryotic translation elongation factor 1 alpha 1	protein-coding
lmo2_peak_165	chr10	83846429	83846665	+	209	NA	Intergenic	Intergenic	123682	NM_001145198	69784	Mm.271188	NM_001145198	ENSMUSG00000087651	1500009L16Rik	2700050C19Rik|OCC-1	RIKEN cDNA 1500009L16 gene	protein-coding
lmo2_peak_86	chr1	173329239	173329542	+	201	NA	Intergenic	Intergenic	4113	NM_010045	13349	Mm.6393	NM_010045	ENSMUSG00000037872	Ackr1	AA162249|CCBP1|CD234|Darc|Dfy|ESTM35|FY|GPD	atypical chemokine receptor 1 (Duffy blood group)	protein-coding
lmo2_peak_643	chr15	99662404	99662669	+	201	NA	Intergenic	Intergenic	-7841	NM_009597	11419	Mm.440107	NM_009597	ENSMUSG00000023017	Asic1	AI843610|ASIC|ASIC1a|Accn2|B530003N02Rik|BNaC2	acid-sensing (proton-gated) ion channel 1	protein-coding
lmo2_peak_1225	chr4	119018607	119018896	+	195	NA	Intergenic	Intergenic	50360	NR_131914	433751	Mm.224312	NR_131914	ENSMUSG00000066060	Gm12866	-	predicted gene 12866	ncRNA
lmo2_peak_926	chr2	26571925	26572174	+	195	NA	Intergenic	Intergenic	-9034	NM_178444	353156	Mm.268933	NM_178444	ENSMUSG00000026921	Egfl7	VE-statin|Zneu1	EGF-like domain 7	protein-coding
lmo2_peak_422	chr13	30084030	30084338	+	195	NA	Intergenic	Intergenic	-52306	NM_153546	218121	Mm.89682	NM_153546	ENSMUSG00000038732	Mboat1	9130215M02Rik|BC023845|LPEAT1|Moact1|Oact1	membrane bound O-acyltransferase domain containing 1	protein-coding
lmo2_peak_1846	chr9	104384731	104385071	+	195	NA	Intergenic	Intergenic	-41212	NR_035516	100316725		NR_035516	ENSMUSG00000089406	Mir2136	mmu-mir-2136	microRNA 2136	ncRNA
lmo2_peak_708	chr16	92715605	92715933	+	195	NA	intron (NM_001111021, intron 2 of 7)	intron (NM_001111021, intron 2 of 7)	-18440	NM_001111023	12394	Mm.4081	NM_009821	ENSMUSG00000022952	Runx1	AML1|CBF-alpha-2|Cbfa2|Pebp2a2|Pebpa2b	runt related transcription factor 1	protein-coding
lmo2_peak_1159	chr4	13300195	13300409	+	195	NA	Intergenic	Intergenic	393465	NM_173746	208820	Mm.12057	NM_173746	ENSMUSG00000055963	Triqk	C130086A10|Gm11818	triple QxxK/R motif containing	protein-coding
