PeakID (cmd=annotatePeaks.pl shared_peaks.bed mm10 -annStats shared_peaks_annstats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
lmo2_peak_1214	chr4	115095632	115096303	+	1413	NA	Intergenic	Intergenic	7259	NM_001164557	67182	Mm.30181	NM_026018	ENSMUSG00000028716	Pdzk1ip1	0610007F13Rik|2700030M23Rik|AU046042|Map17	PDZK1 interacting protein 1	protein-coding
lmo2_peak_1733	chr8	122719681	122720221	+	1336	NA	Intergenic	MIRb|SINE|MIR	-20842	NM_009824	12398	Mm.194339	NM_009824	ENSMUSG00000006362	Cbfa2t3	A630044F12Rik|AI465270|AW229127|Cbfa2t3h|ETO-2|Eto2|MTGR2	CBFA2/RUNX1 translocation partner 3	protein-coding
lmo2_peak_1670	chr8	84701376	84701889	+	1203	NA	5' UTR (NM_008535, exon 1 of 4)	5' UTR (NM_008535, exon 1 of 4)	175	NM_008535	17095	Mm.4925	NM_008535	ENSMUSG00000034041	Lyl1	Lyl-1|bHLHa18	lymphoblastomic leukemia 1	protein-coding
lmo2_peak_1712	chr8	120371722	120372235	+	969	NA	Intergenic	Intergenic	-116888	NM_198671	382034	Mm.334856	NM_198671	ENSMUSG00000031822	Gse1	2210013I18Rik|mKIAA0182	genetic suppressor element 1, coiled-coil protein	protein-coding
lmo2_peak_1333	chr5	107759008	107759595	+	961	NA	intron (NM_007964, intron 17 of 17)	intron (NM_007964, intron 17 of 17)	-33496	NM_001267621	14581	Mm.2078	NM_010278	ENSMUSG00000029275	Gfi1	AW495828|Gfi-1|Pal-1|Pal1	growth factor independent 1 transcription repressor	protein-coding
lmo2_peak_1594	chr8	11083947	11084502	+	898	NA	Intergenic	Intergenic	-75295	NM_001081212	384783	Mm.407207	NM_001081212	ENSMUSG00000038894	Irs2	Irs-2	insulin receptor substrate 2	protein-coding
lmo2_peak_1678	chr8	87833258	87833740	+	895	NA	intron (NM_033327, intron 3 of 7)	intron (NM_033327, intron 3 of 7)	-29060	NM_001310520	94187	Mm.23452	NM_033327	ENSMUSG00000045333	Zfp423	Ebfaz|Roaz|Zfp104|Znf423|ataxia1|mKIAA0760|nur12	zinc finger protein 423	protein-coding
lmo2_peak_184	chr10	111595465	111596082	+	889	NA	Intergenic	Intergenic	-1500	NR_045344	71321	Mm.410785	NR_045344	ENSMUSG00000097082	4933440J02Rik	-	RIKEN cDNA 4933440J02 gene	ncRNA
lmo2_peak_1145	chr3	145964260	145964813	+	871	NA	Intergenic	Intergenic	-23334	NM_001166064	214804	Mm.268854	NM_001166064	ENSMUSG00000036863	Syde2	C430017H16Rik	synapse defective 1, Rho GTPase, homolog 2 (C. elegans)	protein-coding
lmo2_peak_644	chr15	99664673	99665150	+	853	NA	Intergenic	Intergenic	-5466	NM_009597	11419	Mm.440107	NM_009597	ENSMUSG00000023017	Asic1	AI843610|ASIC|ASIC1a|Accn2|B530003N02Rik|BNaC2	acid-sensing (proton-gated) ion channel 1	protein-coding
lmo2_peak_993	chr2	93353729	93354097	+	853	NA	Intergenic	Intergenic	-19426	NM_183180	241556	Mm.274159	NM_183180	ENSMUSG00000027217	Tspan18	2610042G18Rik|6720430O15|BB226562	tetraspanin 18	protein-coding
lmo2_peak_539	chr14	54705732	54706262	+	836	NA	Intergenic	Intergenic	6177	NM_207131	110794	Mm.236223	NM_207131	ENSMUSG00000052435	Cebpe	C/EBPe|C/EBPepsilon|CRP1|Gm294	CCAAT/enhancer binding protein (C/EBP), epsilon	protein-coding
lmo2_peak_1419	chr6	50890717	50891187	+	818	NA	Intergenic	Intergenic	-15454	NR_157241	102633851	Mm.393702	NR_157241		Gm31579	Gm44400	predicted gene, 31579	ncRNA
lmo2_peak_1649	chr8	69121573	69122009	+	792	NA	Intergenic	Intergenic	-32569	NM_153054	110877	Mm.19301	NM_153054	ENSMUSG00000036330	Slc18a1	4832416I10Rik|Vat1|Vmat1	solute carrier family 18 (vesicular monoamine), member 1	protein-coding
lmo2_peak_580	chr15	25608792	25609543	+	724	NA	Intergenic	Intergenic	-13383	NM_019472	17909	Mm.60590	NM_019472	ENSMUSG00000022272	Myo10	AW048724|D15Ertd600e|mKIAA0799|myosin-X	myosin X	protein-coding
lmo2_peak_1715	chr8	120486981	120487410	+	715	NA	Intergenic	Intergenic	-1671	NM_198671	382034	Mm.334856	NM_198671	ENSMUSG00000031822	Gse1	2210013I18Rik|mKIAA0182	genetic suppressor element 1, coiled-coil protein	protein-coding
lmo2_peak_1595	chr8	11091689	11092396	+	715	NA	Intergenic	Intergenic	-83113	NM_001081212	384783	Mm.407207	NM_001081212	ENSMUSG00000038894	Irs2	Irs-2	insulin receptor substrate 2	protein-coding
lmo2_peak_1734	chr8	122720386	122720715	+	714	NA	Intergenic	Intergenic	-21441	NM_009824	12398	Mm.194339	NM_009824	ENSMUSG00000006362	Cbfa2t3	A630044F12Rik|AI465270|AW229127|Cbfa2t3h|ETO-2|Eto2|MTGR2	CBFA2/RUNX1 translocation partner 3	protein-coding
lmo2_peak_93	chr1	180850724	180851169	+	678	NA	promoter-TSS (NM_145943)	promoter-TSS (NM_145943)	-205	NM_145943	208768	Mm.272625	NM_145943	ENSMUSG00000038806	Sde2	-	SDE2 telomere maintenance homolog (S. pombe)	protein-coding
lmo2_peak_1102	chr3	87901176	87901673	+	678	NA	Intergenic	Intergenic	-4897	NM_008231	15191	Mm.292208	NM_008231	ENSMUSG00000004897	Hdgf	AI118077|D3Ertd299e	heparin binding growth factor	protein-coding
lmo2_peak_1732	chr8	122699046	122699531	+	671	NA	promoter-TSS (NM_009824)	promoter-TSS (NM_009824)	-179	NM_009824	12398	Mm.194339	NM_009824	ENSMUSG00000006362	Cbfa2t3	A630044F12Rik|AI465270|AW229127|Cbfa2t3h|ETO-2|Eto2|MTGR2	CBFA2/RUNX1 translocation partner 3	protein-coding
lmo2_peak_1655	chr8	72268262	72268773	+	662	NA	Intergenic	Intergenic	28499	NM_007456	11767	Mm.290086	NM_007456	ENSMUSG00000003033	Ap1m1	AA408894|AP47|Adtm1A|Cltnm|mu1A	adaptor-related protein complex AP-1, mu subunit 1	protein-coding
lmo2_peak_194	chr10	118064835	118065359	+	661	NA	Intergenic	Intergenic	-76690	NM_148922	17245	Mm.101191	NM_010785	ENSMUSG00000020212	Mdm1	Arrd2|Mdm-1	transformed mouse 3T3 cell double minute 1	protein-coding
lmo2_peak_1806	chr9	64045076	64045545	+	661	NA	Intergenic	Intergenic	-3845	NR_040726	73397	Mm.48745	NR_040726	ENSMUSG00000093616	1700055C04Rik	-	RIKEN cDNA 1700055C04 gene	ncRNA
lmo2_peak_686	chr16	48252854	48253314	+	644	NA	Intergenic	Intergenic	-30651	NM_028610	73693	Mm.35597	NM_028610	ENSMUSG00000058550	Dppa4	2410091M23Rik|C76608|ECAT15-1	developmental pluripotency associated 4	protein-coding
lmo2_peak_1122	chr3	105808508	105808918	+	627	NA	Intergenic	Intergenic	-6854	NR_045845	433637	Mm.331285	NR_045845	ENSMUSG00000104835	Gm5547	EG433637	predicted gene 5547	ncRNA
lmo2_peak_1737	chr8	123988598	123988969	+	613	NA	Intergenic	Intergenic	-5661	NM_019552	56199	Mm.274243	NM_019552	ENSMUSG00000031974	Abcb10	Abc-me|Abcb12	ATP-binding cassette, sub-family B (MDR/TAP), member 10	protein-coding
