PeakID (cmd=annotatePeaks.pl tal1_specific.bed mm10 -annStats tal1_peaks_annstats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
tal1_peak_936	chr18	65427479	65427528	+	683	NA	intron (NR_105742, intron 3 of 6)	7SLRNA|srpRNA|srpRNA	-3487	NM_001365019	240354	Mm.132613	NM_172833	ENSMUSG00000032688	Malt1	A630046N12|D430033E09Rik|Pcasp1	MALT1 paracaspase	protein-coding
tal1_peak_1380	chr4	154908675	154908724	+	642	NA	Intergenic	B1_Mm|SINE|Alu	-9656	NM_025582	66469	Mm.41868	NM_025582	ENSMUSG00000029059	Prxl2b	2810405K02Rik|AI836168|Fam213b|PM/PGFS	peroxiredoxin like 2B	protein-coding
tal1_peak_1161	chr2	168131245	168131292	+	596	NA	Intergenic	B1_Mus1|SINE|Alu	23245	NR_040327	77017	Mm.407822	NR_040327	ENSMUSG00000087648	E130018N17Rik	-	RIKEN cDNA E130018N17 gene	ncRNA
tal1_peak_1032	chr2	25552072	25552120	+	573	NA	Intergenic	B1_Mus1|SINE|Alu	-5156	NM_001290413	22030	Mm.3399	NM_009422	ENSMUSG00000026942	Traf2	AI325259	TNF receptor-associated factor 2	protein-coding
tal1_peak_1612	chr6	125618021	125618099	+	550	NA	intron (NM_011708, intron 18 of 51)	PB1|SINE|Alu	65112	NM_011708	22371	Mm.22339	NM_011708	ENSMUSG00000001930	Vwf	6820430P06Rik|AI551257|B130011O06Rik|C630030D09|F8VWF|VWD	Von Willebrand factor	protein-coding
tal1_peak_1845	chr8	109707412	109707458	+	524	NA	intron (NM_001363381, intron 2 of 7)	B1_Mm|SINE|Alu	1416	NM_001363382	75871	Mm.180410	NM_029468	ENSMUSG00000031728	Zfp821	4930566A11Rik|Znf821	zinc finger protein 821	protein-coding
tal1_peak_1135	chr2	145866424	145866470	+	504	NA	intron (NM_028724, intron 9 of 12)	B1F1|SINE|Alu	-36794	NM_026425	67877	Mm.151168	NM_026425	ENSMUSG00000002728	Naa20	1500004D14Rik|2900026I01Rik|AU041458|D2Ertd186e|Nat5	N(alpha)-acetyltransferase 20, NatB catalytic subunit	protein-coding
tal1_peak_217	chr10	122846441	122846483	+	504	NA	intron (NM_176919, intron 4 of 8)	B4|SINE|B4	139262	NR_029527	387251		NR_029527	ENSMUSG00000065406	Mirlet7i	Mirnlet7i|let-7i|mmu-let-7i	microRNA let7i	ncRNA
tal1_peak_2079	chr9	70806182	70806239	+	495	NA	intron (NM_001324472, intron 7 of 9)	PB1|SINE|Alu	127228	NM_007399	11487	Mm.3037	NM_007399	ENSMUSG00000054693	Adam10	1700031C13Rik|MADM|kuz|kuzbanian	a disintegrin and metallopeptidase domain 10	protein-coding
tal1_peak_1661	chr7	45623693	45623740	+	495	NA	intron (NM_001018013, intron 3 of 9)	PB1|SINE|Alu	1905	NM_001018013	73456	Mm.380445	NM_001018013	ENSMUSG00000064158	Izumo1	1700058F15Rik|Izumo	izumo sperm-egg fusion 1	protein-coding
